refdes,device,value,footprint,qty,total qty,Mfg. Part #,Price Ea.,Total Price
C101,CAPACITOR,10uF 10V,my_0805,1,,,,
C102,CAPACITOR,10uF 10V,my_0805,1,,,,
C103,CAPACITOR,10uF 10V,my_0805,1,3,C2012X5R1A106K125AB,0.0693,0.2079
C105,CAPACITOR,18pf,my_0603,1,,,,
C106,CAPACITOR,18pf,my_0603,1,2,CL10C180JB8NNNC,0.011,0.022
C104,CAPACITOR,0.1uf,my_0603,1,,,,
C201,CAPACITOR,0.1uf,my_0603,1,,,,
C202,CAPACITOR,0.1uf,my_0603,1,,,,
C301,CAPACITOR,0.1uf,my_0603,1,,,,
C302,CAPACITOR,0.1uf,my_0603,1,,,,
C303,CAPACITOR,0.1uf,my_0603,1,,,,
C304,CAPACITOR,0.1uf,my_0603,1,,,,
C305,CAPACITOR,0.1uf,my_0603,1,,,,
C306,CAPACITOR,0.1uf,my_0603,1,,,,
C307,CAPACITOR,0.1uf,my_0603,1,,,,
C308,CAPACITOR,0.1uf,my_0603,1,,,,
C309,CAPACITOR,0.1uf,my_0603,1,,,,
C310,CAPACITOR,0.1uf,my_0603,1,,,,
C311,CAPACITOR,0.1uf,my_0603,1,,,,
C312,CAPACITOR,0.1uf,my_0603,1,,,,
C313,CAPACITOR,0.1uf,my_0603,1,,,,
C314,CAPACITOR,0.1uf,my_0603,1,,,,
C315,CAPACITOR,0.1uf,my_0603,1,,,,
C316,CAPACITOR,0.1uf,my_0603,1,,,,
C317,CAPACITOR,0.1uf,my_0603,1,,,,
C318,CAPACITOR,0.1uf,my_0603,1,,,,
C319,CAPACITOR,0.1uf,my_0603,1,,,,
C320,CAPACITOR,0.1uf,my_0603,1,,,,
C321,CAPACITOR,0.1uf,my_0603,1,24,C0603C104M4RACTU,0.0116,0.2784
J102,HEADER46,unknown,HEADER46_2,1,,,,
J103,HEADER46,unknown,HEADER46_2,1,2,"2x23 0.1"" spaced stacking female header",2.485,4.97
J201,HEADER40,unknown,hirose_fx2_40,1,1,FX2CA-40S-1.27DSA(71),3.8,3.8
J301,CONNECTOR_6,unknown,JUMPER6,1,1,1x6 0.1” spaced male header,0.1,0.1
L101,INDUCTOR,2.2uH,vlf3010,1,,,,
L102,INDUCTOR,2.2uH,vlf3010,1,2,VLF3010AT-2R2M1R0,0.8,1.6
LED201,LED,unknown,805_pol,1,,,,
LED202,LED,unknown,805_pol,1,,,,
LED203,LED,unknown,805_pol,1,,,,
LED204,LED,unknown,805_pol,1,,,,
LED205,LED,unknown,805_pol,1,,,,
LED301,LED,unknown,805_pol,1,6,LTST-C170KGKT,0.1574,0.9444
R101,RESISTOR,5.6k,my_0603,1,,,,
R102,RESISTOR,5.6k,my_0603,1,2,CR0603-FX-5601ELF,0.0208,0.0416
R103,RESISTOR,4.7k,my_0603,1,,,,
R104,RESISTOR,4.7k,my_0603,1,,,,
R105,RESISTOR,4.7k,my_0603,1,,,,
R302,RESISTOR,4.7k,my_0603,1,,,,
R304,RESISTOR,4.7k,my_0603,1,,,,
R305,RESISTOR,4.7k,my_0603,1,6,CR0603-FX-4701ELF,0.0187,0.1122
R107,RESISTOR,1.15M,my_0603,1,1,CRCW06031M15FKEA,0.0436,0.0436
R106,RESISTOR,255k,my_0603,1,,,,
R108,RESISTOR,255k,my_0603,1,,,,
R109,RESISTOR,255k,my_0603,1,3,CRCW0603255KFKEA,0.0436,0.1308
R201,RPAK_CTS_8,330,EXB2HV,1,1,EXB-2HV331JV,0.1688,0.1688
R301,RESISTOR,330,my_0603,1,1,CR0603-FX-3300ELF,0.0208,0.0208
R306,RESISTOR,100,my_0603,1,,,,
R307,RESISTOR,100,my_0603,1,,,,
R308,RESISTOR,100,my_0603,1,3,CR0603-FX-1000ELF,0.0187,0.0561
SW101,SWITCH_DIP2,unknown,cts_218_2,1,1,218-2LPST,0.8768,0.8768
U101,NCP1532,unknown,DFN10,1,1,NCP1532MUAATXG,1.16,1.16
U104,24C256W,unknown,SO8,1,1,FT24C256A-USR-T,0.4726,0.4726
U201,PCF8574,unknown,SSOP20,1,1,PCF8574APWR,1.392,1.392
U204,VCC1-B3D-50M0,unknown,HC73,1,1,VCC1-B3B-50M0000000,1.2,1.2
U301,xc6slx9-3tgq144,unknown,LQFP144_20,1,1,XC6SLX9-2TQG144,15.69,15.69
,,,Total Parts,64,,,Total BOM,33.288
