refdes,device,value,footprint,Suggested Digi-Key Part Number,
C203,CAPACITOR,0.01uf,603,C0603C103K5RACTU,
C205,CAPACITOR,0.01uf,603,,
C207,CAPACITOR,0.01uf,603,,
C209,CAPACITOR,0.01uf,603,,
C101,CAPACITOR,0.1uf,603,C0603C104K4RACTU,
C102,CAPACITOR,0.1uf,603,,
C105,CAPACITOR,0.1uf,603,,
C106,CAPACITOR,0.1uf,603,,
C107,CAPACITOR,0.1uf,603,,
C108,CAPACITOR,0.1uf,603,,
C109,CAPACITOR,0.1uf,603,,
C115,CAPACITOR,0.1uf,603,,
C116,CAPACITOR,0.1uf,603,,
C118,CAPACITOR,0.1uf,603,,
C201,CAPACITOR,0.1uf,603,,
C215,CAPACITOR,0.1uf,603,,
C216,CAPACITOR,0.1uf,603,,
C217,CAPACITOR,0.1uf,603,,
C117,CAPACITOR,100pf,603,,
C103,POLARIZED_CAPACITOR,10uf 16V,cap-elec-ave_b,AVE106M16B12T-F,
C104,POLARIZED_CAPACITOR,10uf 16v,cap-elec-ave_b,,
C110,POLARIZED_CAPACITOR,10uF 16V,cap-elec-ave_b,,
C112,POLARIZED_CAPACITOR,10uF 16V,cap-elec-ave_b,,
C114,POLARIZED_CAPACITOR,10uF 16V,cap-elec-ave_b,,
C218,POLARIZED_CAPACITOR,10uF 16V,cap-elec-ave_b,,
C219,POLARIZED_CAPACITOR,10uF 16V,cap-elec-ave_b,,
C111,POLARIZED_CAPACITOR,1uF 50V,cap-elec-ave_b,AVE105M50B12T-F,
C113,POLARIZED_CAPACITOR,1uF 50V,cap-elec-ave_b,,
C220,POLARIZED_CAPACITOR,1uF 50V,cap-elec-ave_b,,
C221,POLARIZED_CAPACITOR,1uF 50V,cap-elec-ave_b,,
C222,CAPACITOR,220pf,603,C1608C0G1H221F080AA,
C223,CAPACITOR,220pf,603,,
C202,CAPACITOR,47pf,603,,
C204,CAPACITOR,47pf,603,C0603C470J5GACTU,
C206,CAPACITOR,47pf,603,,
C208,CAPACITOR,47pf,603,,
C210,CAPACITOR,47pf,603,,
C211,CAPACITOR,47pf,603,,
C212,CAPACITOR,47pf,603,,
C213,CAPACITOR,47pf,603,,
J101,CONNECTOR_5,unknown,JUMPER5.fp,,
J102,HEADER10,unknown,HEADER10_2.fp,,
J103,CONNECTOR_4,unknown,JUMPER4.fp,,
J104,CONNECTOR_5,unknown,JUMPER5.fp,,
J201,HEADER10,unknown,HEADER10_2.fp,,
J202,HEADER10,unknown,HEADER10_2.fp,,
L101,BLM18BD252SN1D,2k5 50ma,603,BLM18BD252SN1D,
R206,RESISTOR,10,805,Generic 5% 1/8W 0805 SMD,
R210,RESISTOR,10,805,,
R214,RESISTOR,10,805,,
R218,RESISTOR,10,805,,
R223,RESISTOR,100,805,Generic 5% 1/8W 0805 SMD,
R227,RESISTOR,100,805,,
R103,RESISTOR,470,805,Generic 5% 1/8W 0805 SMD,
R205,RESISTOR,100k,805,Generic 5% 1/8W 0805 SMD,
R207,RESISTOR,100k,805,,
R209,RESISTOR,100k,805,,
R211,RESISTOR,100k,805,,
R213,RESISTOR,100k,805,,
R215,RESISTOR,100k,805,,
R217,RESISTOR,100k,805,,
R219,RESISTOR,100k,805,,
R220,RESISTOR,100k,805,,
R224,RESISTOR,100k,805,,
R228,RESISTOR,100k,805,,
R232,RESISTOR,100k,805,,
R101,RESISTOR,10k,805,Generic 5% 1/8W 0805 SMD,
R102,RESISTOR,10k,805,,
R104,RESISTOR,10k,805,,
R105,RESISTOR,10k,805,,
R106,RESISTOR,10k,805,,
R107,RESISTOR,10k,805,,
R108,RESISTOR,10k,805,,
R109,RESISTOR,10k,805,,
R110,RESISTOR,10k,805,,
R111,RESISTOR,10k,805,,
R204,RESISTOR,330k,805,Generic 5% 1/8W 0805 SMD,
R208,RESISTOR,330k,805,,
R212,RESISTOR,330k,805,,
R216,RESISTOR,330k,805,,
R221,RESISTOR,330k,805,,
R225,RESISTOR,330k,805,,
R229,RESISTOR,330k,805,,
R233,RESISTOR,330k,805,,
R112,RESISTOR,4.7k,805,Generic 5% 1/8W 0805 SMD,
R113,RESISTOR,4.7k,805,,
R201,RESISTOR,4.7k,805,,
R203,RESISTOR,47k,805,,
R202,RESISTOR,82k,805,Generic 5% 1/8W 0805 SMD,
R236,VARIABLE_RESISTOR,10k,trimpot_vert2,3329X-1-103LF,
U101,dsPIC33FJ32GP302,unknown,SO28.fp,DSPIC33FJ32GP302-I/SO,
U102,WM8731,unknown,TSSOP28.fp,WM8731SEDS/V,Mouser Only
U103,23K256,unknown,SO8.fp,23K256-I/SN,
U104,LM1117-3.3,unknown,SOT223.fp,LM1117MP-3.3/NOPB,
U105,24AA256,unknown,SO8.fp,24AA256-I/SN,
U201,QUAD_OPAMP,TLV274,SO14,TLV274CD,
U202,QUAD_OPAMP,TL074,SO14,TL074CD,
U204,LM4041-ADJ,unknown,TO92,LM4041DILPR,
